Filename,Lines,Line Samples,Bands,First Band (µm),Last Band (µm),Possible Elements
v1484532347_1.lbl,18,64,352,0.36,0.42,
v1514285449_1.lbl,64,64,352,0.35895,0.3879,
v1512353765_1.lbl,24,64,352,0.35895,0.3879,
v1487103080_1.lbl,12,12,352,0.36,0.42,
v1478551886_1.lbl,32,64,352,0.36,0.42,
v1514178399_1.lbl,64,64,352,0.35895,0.3879,
v1472653615_1.lbl,54,60,352,0.36,0.42,
v1471771930_1.lbl,54,60,352,0.36,0.42,
v1514084512_1.lbl,18,36,352,0.35895,0.3879,
v1477695239_1.lbl,16,64,352,0.36,0.42,
v1513885331_1.lbl,12,24,352,0.35895,0.3879,
v1512012990_1.lbl,12,32,352,0.35895,0.3879,
v1470990673_1.lbl,54,60,352,0.36,0.42,
v1512176440_3.lbl,12,64,352,0.35895,0.3879,
v1513908830_1.lbl,12,24,352,0.35895,0.3879,
v1473996428_1.lbl,60,48,352,0.36,0.42,
v1472170303_1.lbl,54,60,352,0.36,0.42,
v1484695868_1.lbl,64,16,352,0.36,0.42,
v1478549292_1.lbl,32,64,352,0.36,0.42,
v1485796592_1.lbl,12,12,352,0.36,0.42,
v1484522181_1.lbl,16,32,352,0.36,0.42,
v1485774597_1.lbl,12,12,352,0.36,0.42,
v1514179449_1.lbl,64,64,352,0.35895,0.3879,
v1514062876_1.lbl,24,48,352,0.35895,0.3879,
v1512194935_1.lbl,12,64,352,0.35895,0.3879,
v1512060802_1.lbl,12,32,352,0.35895,0.3879,
v1478546713_1.lbl,32,64,352,0.36,0.42,
v1476947303_1.lbl,48,48,352,0.36,0.42,
v1481616395_1.lbl,12,36,352,0.36,0.42,
v1485785808_1.lbl,12,12,352,0.36,0.42,
v1512210804_1.lbl,12,64,352,0.35895,0.3879,
v1512241330_1.lbl,64,64,352,0.35895,0.3879,
v1471650129_1.lbl,54,60,352,0.36,0.42,
v1486554214_1.lbl,64,64,352,0.36,0.42,
v1487082364_1.lbl,42,64,352,0.36,0.42,
v1472018490_1.lbl,54,60,352,0.36,0.42,
v1514560497_1.lbl,16,12,352,0.35895,0.3879,
v1484520333_1.lbl,16,32,352,0.36,0.42,
v1478490540_1.lbl,32,32,352,0.36,0.42,
v1513903538_1.lbl,12,24,352,0.35895,0.3879,
v1514566187_1.lbl,16,12,352,0.35895,0.3879,
v1483233558_1.lbl,6,6,352,0.36,0.42,
v1514576040_1.lbl,16,12,352,0.35895,0.3879,
v1486385574_1.lbl,64,64,352,0.36,0.42,
v1473209848_1.lbl,54,60,352,0.36,0.42,
v1476646412_1.lbl,12,24,352,0.36,0.42,
v1512353977_1.lbl,24,64,352,0.35895,0.3879,
v1476331964_1.lbl,54,54,352,0.36,0.42,
v1487115692_1.lbl,48,64,352,0.36,0.42,
v1484578896_1.lbl,24,36,352,0.36,0.42,
v1478483448_1.lbl,32,32,352,0.36,0.42,
v1470741334_1.lbl,54,60,352,0.36,0.42,
v1485775752_1.lbl,4,16,352,0.36,0.42,
v1479220478_1.lbl,64,64,352,0.36,0.42,
v1481373528_1.lbl,48,48,352,0.36,0.42,
v1483195671_1.lbl,18,18,352,0.36,0.42,
v1484581520_1.lbl,18,42,352,0.36,0.42,
v1514280052_1.lbl,64,64,352,0.35895,0.3879,
v1475252449_1.lbl,60,48,352,0.36,0.42,
v1478492592_4.lbl,32,32,352,0.36,0.42,
v1479472243_1.lbl,64,64,352,0.36,0.42,
v1467455365_1.lbl,42,42,352,0.36,0.42,
v1514141649_1.lbl,12,24,352,0.35895,0.3879,
v1477860870_1.lbl,32,32,352,0.36,0.42,
v1474465375_1.lbl,60,48,352,0.36,0.42,
v1477456872_1.lbl,54,54,352,0.36,0.42,
v1478031432_1.lbl,16,64,352,0.36,0.42,
v1512224709_1.lbl,12,64,352,0.35895,0.3879,
v1485801505_1.lbl,4,16,352,0.36,0.42,
v1512207284_1.lbl,12,64,352,0.35895,0.3879,
v1513900262_1.lbl,12,24,352,0.35895,0.3879,
v1469001043_1.lbl,48,64,352,0.36,0.42,
v1474224276_1.lbl,60,48,352,0.36,0.42,
v1478543114_1.lbl,32,64,352,0.36,0.42,
v1477666066_1.lbl,6,64,352,0.36,0.42,
v1481607233_1.lbl,64,64,352,0.36,0.42,
v1512346730_1.lbl,32,64,352,0.35895,0.3879,
v1476576529_4.lbl,54,54,352,0.36,0.42,
v1481287196_1.lbl,64,64,352,0.36,0.42,
v1485780609_1.lbl,12,12,352,0.36,0.42,
v1513902761_1.lbl,12,24,352,0.35895,0.3879,
v1471759311_1.lbl,54,60,352,0.36,0.42,
v1514558126_1.lbl,16,12,352,0.35895,0.3879,
v1476929679_1.lbl,64,64,352,0.36,0.42,
v1476933331_1.lbl,64,64,352,0.36,0.42,
v1514571061_1.lbl,16,12,352,0.35895,0.3879,
v1512364104_1.lbl,24,64,352,0.35895,0.3879,
v1511976316_1.lbl,24,12,352,0.35895,0.3879,
v1514184447_1.lbl,32,32,352,0.35895,0.3879,
v1481595491_1.lbl,48,48,352,0.36,0.42,
v1470615962_1.lbl,54,60,352,0.36,0.42,
v1513901753_1.lbl,12,24,352,0.35895,0.3879,
v1514196227_1.lbl,64,64,352,0.35895,0.3879,
v1472527926_1.lbl,54,60,352,0.36,0.42,
v1484861098_4.lbl,64,16,352,0.36,0.42,
v1514133153_1.lbl,16,30,352,0.35895,0.3879,
v1476574642_1.lbl,12,24,352,0.36,0.42,
v1512355214_1.lbl,24,64,352,0.35895,0.3879,
v1476807773_1.lbl,48,48,352,0.36,0.42,
v1473469367_1.lbl,54,60,352,0.36,0.42,
v1473211086_7.lbl,54,60,352,0.36,0.42,
v1474251161_1.lbl,60,48,352,0.36,0.42,
v1474503945_1.lbl,60,48,352,0.36,0.42,
v1476808623_1.lbl,48,48,352,0.36,0.42,
v1472022113_1.lbl,54,60,352,0.36,0.42,
v1485785894_1.lbl,12,12,352,0.36,0.42,
v1471750305_1.lbl,54,60,352,0.36,0.42,
v1514290765_1.lbl,64,64,352,0.35895,0.3879,
v1487096932_1.lbl,42,42,352,0.36,0.42,
v1514295146_1.lbl,64,64,352,0.35895,0.3879,
v1511984251_1.lbl,16,12,352,0.35895,0.3879,
v1474589170_1.lbl,64,64,352,0.36,0.42,
v1514155876_1.lbl,12,24,352,0.35895,0.3879,
v1481624482_1.lbl,12,24,352,0.36,0.42,
v1514177644_1.lbl,64,64,352,0.35895,0.3879,
v1512064686_1.lbl,12,32,352,0.35895,0.3879,
v1478641992_4.lbl,64,64,352,0.36,0.42,
v1468372349_1.lbl,14,14,352,0.36,0.42,
v1479515464_1.lbl,64,64,352,0.36,0.42,
v1487094900_1.lbl,48,64,352,0.36,0.42,
v1512006103_1.lbl,12,32,352,0.35895,0.3879,
v1511994446_1.lbl,16,12,352,0.35895,0.3879,
v1483235269_1.lbl,28,47,352,0.36,0.42,
v1478548177_1.lbl,32,64,352,0.36,0.42,
v1511991838_3.lbl,16,12,352,0.35895,0.3879,
v1512352315_1.lbl,24,64,352,0.35895,0.3879,
v1481143507_1.lbl,64,64,352,0.36,0.42,
v1478731574_1.lbl,48,48,352,0.36,0.42,
v1472152246_1.lbl,54,60,352,0.36,0.42,
v1483232817_1.lbl,6,6,352,0.36,0.42,
v1512162537_1.lbl,12,64,352,0.35895,0.3879,
v1481738556_1.lbl,18,30,352,0.36,0.42,
v1471483879_1.lbl,54,60,352,0.36,0.42,
v1479252858_1.lbl,64,64,352,0.36,0.42,
v1512362637_3.lbl,24,64,352,0.35895,0.3879,
v1475026424_1.lbl,60,48,352,0.36,0.42,
v1513903832_1.lbl,12,24,352,0.35895,0.3879,
v1470603343_1.lbl,54,60,352,0.36,0.42,
v1473451985_1.lbl,54,60,352,0.36,0.42,
v1511978323_1.lbl,16,12,352,0.35895,0.3879,
v1513898540_1.lbl,12,24,352,0.35895,0.3879,
v1480705122_4.lbl,64,64,352,0.36,0.42,
v1480700458_1.lbl,64,64,352,0.36,0.42,
v1472000506_1.lbl,54,60,352,0.36,0.42,
v1475032121_1.lbl,60,48,352,0.36,0.42,
v1485877289_1.lbl,24,24,352,0.36,0.42,
v1484589670_1.lbl,48,60,352,0.36,0.42,
v1512087726_1.lbl,12,32,352,0.35895,0.3879,
v1514211204_1.lbl,64,64,352,0.35895,0.3879,
v1472404369_1.lbl,54,60,352,0.36,0.42,
v1513899191_1.lbl,12,24,352,0.35895,0.3879,
v1481736989_1.lbl,36,48,352,0.36,0.42,
v1475861307_1.lbl,24,24,352,0.36,0.42,
v1514176375_1.lbl,64,64,352,0.35895,0.3879,
v1485791186_1.lbl,4,16,352,0.36,0.42,
v1476547704_1.lbl,48,48,352,0.36,0.42,
v1511984725_1.lbl,16,12,352,0.35895,0.3879,
v1476793433_1.lbl,64,64,352,0.36,0.42,
v1469270078_1.lbl,48,64,352,0.36,0.42,
v1514089574_1.lbl,24,36,352,0.35895,0.3879,
v1471776567_1.lbl,54,60,352,0.36,0.42,
v1476645837_1.lbl,12,24,352,0.36,0.42,
v1481629094_1.lbl,64,64,352,0.36,0.42,
v1514195877_1.lbl,64,64,352,0.35895,0.3879,
v1514197342_1.lbl,64,64,352,0.35895,0.3879,
v1476589449_1.lbl,60,60,352,0.36,0.42,
