Filename,Lines,Line Samples,Bands,First Band (µm),Last Band (µm),Possible Elements
v1481456340_1.lbl,48,48,352,0.36,0.42,
v1514297682_1.lbl,12,12,352,0.35895,0.3879,
v1512189210_1.lbl,12,64,352,0.35895,0.3879,
v1479216884_1.lbl,64,64,352,0.36,0.42,
v1513794873_1.lbl,8,48,352,0.35895,0.3879,
v1479674367_1.lbl,64,64,352,0.36,0.42,
v1471512728_10.lbl,54,60,352,0.36,0.42,
v1514572720_1.lbl,16,12,352,0.35895,0.3879,
v1481591564_4.lbl,48,48,352,0.36,0.42,
v1472719927_1.lbl,54,60,352,0.36,0.42,
v1481616786_1.lbl,12,36,352,0.36,0.42,
v1485878577_1.lbl,24,24,352,0.36,0.42,
v1487102343_1.lbl,12,12,352,0.36,0.42,
v1473948524_1.lbl,60,48,352,0.36,0.42,
v1467426798_1.lbl,42,42,352,0.36,0.42,
v1485796614_1.lbl,12,12,352,0.36,0.42,
v1485791304_1.lbl,64,64,352,0.36,0.42,
v1483223249_1.lbl,8,8,352,0.36,0.42,
v1513896692_1.lbl,12,24,352,0.35895,0.3879,
v1481618592_1.lbl,12,36,352,0.36,0.42,
v1477222875_1.lbl,48,48,352,0.36,0.42,
v1485785837_1.lbl,12,12,352,0.36,0.42,
v1484842556_1.lbl,64,16,352,0.36,0.42,
v1514301758_1.lbl,12,12,352,0.35895,0.3879,
v1468889375_1.lbl,12,12,352,0.36,0.42,
v1471505468_1.lbl,54,60,352,0.36,0.42,
v1486965051_1.lbl,64,64,352,0.36,0.42,
v1485801446_1.lbl,4,16,352,0.36,0.42,
v1475279810_1.lbl,60,48,352,0.36,0.42,
v1472266908_3.lbl,54,60,352,0.36,0.42,
v1512090975_1.lbl,12,32,352,0.35895,0.3879,
v1512193374_1.lbl,12,64,352,0.35895,0.3879,
v1483233072_1.lbl,6,6,352,0.36,0.42,
v1477311265_1.lbl,9,24,352,0.36,0.42,
v1481391536_1.lbl,48,48,352,0.36,0.42,
v1512158894_1.lbl,12,64,352,0.35895,0.3879,
v1471426558_1.lbl,54,60,352,0.36,0.42,
v1483233293_1.lbl,6,6,352,0.36,0.42,
v1514065895_1.lbl,24,48,352,0.35895,0.3879,
v1481608199_1.lbl,64,64,352,0.36,0.42,
v1471136136_1.lbl,54,60,352,0.36,0.42,
v1476921184_6.lbl,48,48,352,0.36,0.42,
v1479267839_1.lbl,64,64,352,0.36,0.42,
v1514562393_1.lbl,16,12,352,0.35895,0.3879,
v1477743370_1.lbl,6,64,352,0.36,0.42,
v1486379295_1.lbl,64,64,352,0.36,0.42,
v1471371058_1.lbl,54,60,352,0.36,0.42,
v1514133055_1.lbl,16,30,352,0.35895,0.3879,
v1481711945_1.lbl,64,48,352,0.36,0.42,
v1467452242_1.lbl,36,36,352,0.36,0.42,
v1512214447_1.lbl,12,64,352,0.35895,0.3879,
v1512062912_1.lbl,12,32,352,0.35895,0.3879,
v1486446726_1.lbl,64,64,352,0.36,0.42,
v1513909250_1.lbl,12,24,352,0.35895,0.3879,
v1484522773_1.lbl,16,32,352,0.36,0.42,
v1481486939_1.lbl,48,48,352,0.36,0.42,
v1477235195_1.lbl,48,48,352,0.36,0.42,
v1514292205_1.lbl,64,64,352,0.35895,0.3879,
v1512010880_1.lbl,12,32,352,0.35895,0.3879,
v1512230763_1.lbl,12,64,352,0.35895,0.3879,
v1481216243_1.lbl,48,24,352,0.36,0.42,
v1471173558_1.lbl,54,60,352,0.36,0.42,
v1513892114_1.lbl,12,24,352,0.35895,0.3879,
v1472725288_7.lbl,54,60,352,0.36,0.42,
v1480522484_1.lbl,32,32,352,0.36,0.42,
v1476575660_1.lbl,12,12,352,0.36,0.42,
v1479929763_1.lbl,64,64,352,0.36,0.42,
v1472926369_1.lbl,54,60,352,0.36,0.42,
v1512082306_1.lbl,12,32,352,0.35895,0.3879,
v1514300460_1.lbl,12,12,352,0.35895,0.3879,
v1483231754_1.lbl,32,32,352,0.36,0.42,
v1513903895_1.lbl,12,24,352,0.35895,0.3879,
v1512085616_1.lbl,12,32,352,0.35895,0.3879,
v1484871261_1.lbl,64,16,352,0.36,0.42,
v1485800855_1.lbl,12,12,352,0.36,0.42,
v1467444325_1.lbl,30,30,352,0.36,0.42,
v1512147548_1.lbl,12,64,352,0.35895,0.3879,
v1514182130_1.lbl,32,32,352,0.35895,0.3879,
v1479610136_1.lbl,64,64,352,0.36,0.42,
v1470614146_1.lbl,54,60,352,0.36,0.42,
v1477786147_1.lbl,8,64,352,0.36,0.42,
v1481660766_1.lbl,64,64,352,0.36,0.42,
v1514178063_1.lbl,64,64,352,0.35895,0.3879,
v1474002019_1.lbl,60,48,352,0.36,0.42,
v1471674949_1.lbl,54,60,352,0.36,0.42,
v1484853398_4.lbl,64,16,352,0.36,0.42,
v1514219890_1.lbl,32,32,352,0.35895,0.3879,
v1487119632_1.lbl,12,12,352,0.36,0.42,
v1470996064_1.lbl,54,60,352,0.36,0.42,
v1471380034_1.lbl,54,60,352,0.36,0.42,
v1513893836_1.lbl,12,24,352,0.35895,0.3879,
v1479926146_4.lbl,64,64,352,0.36,0.42,
v1485796668_1.lbl,12,12,352,0.36,0.42,
v1477736693_1.lbl,8,64,352,0.36,0.42,
v1476586072_1.lbl,54,48,352,0.36,0.42,
v1480510117_1.lbl,32,32,352,0.36,0.42,
v1479845532_5.lbl,48,48,352,0.36,0.42,
v1512074372_1.lbl,12,32,352,0.35895,0.3879,
v1469006341_1.lbl,48,64,352,0.36,0.42,
v1512195976_1.lbl,12,64,352,0.35895,0.3879,
v1512207804_1.lbl,12,64,352,0.35895,0.3879,
v1514293863_1.lbl,64,64,352,0.35895,0.3879,
v1513895621_1.lbl,12,24,352,0.35895,0.3879,
v1485792766_1.lbl,64,64,352,0.36,0.42,
v1478491053_1.lbl,32,32,352,0.36,0.42,
v1514299878_1.lbl,12,12,352,0.35895,0.3879,
v1472450814_1.lbl,54,60,352,0.36,0.42,
v1485886286_1.lbl,24,24,352,0.36,0.42,
v1467518802_1.lbl,54,24,352,0.36,0.42,
v1476311133_1.lbl,54,54,352,0.36,0.42,
v1487107562_7.lbl,48,64,352,0.36,0.42,
v1476336987_4.lbl,48,54,352,0.36,0.42,
v1477782348_1.lbl,64,64,352,0.36,0.42,
v1512173838_1.lbl,12,64,352,0.35895,0.3879,
v1512348072_1.lbl,32,64,352,0.35895,0.3879,
v1468371983_1.lbl,14,14,352,0.36,0.42,
v1477359966_1.lbl,48,48,352,0.36,0.42,
v1513883483_1.lbl,12,24,352,0.35895,0.3879,
v1472159472_1.lbl,54,60,352,0.36,0.42,
v1514088246_1.lbl,24,36,352,0.35895,0.3879,
v1514478342_1.lbl,12,32,352,0.35895,0.3879,
v1481380734_1.lbl,48,48,352,0.36,0.42,
v1479613771_1.lbl,64,64,352,0.36,0.42,
v1514298965_1.lbl,12,12,352,0.35895,0.3879,
v1484510044_1.lbl,18,48,352,0.36,0.42,
v1472014907_1.lbl,54,60,352,0.36,0.42,
v1474756772_1.lbl,60,48,352,0.36,0.42,
v1481225531_1.lbl,64,64,352,0.36,0.42,
v1512342395_1.lbl,32,64,352,0.35895,0.3879,
v1471250753_1.lbl,54,60,352,0.36,0.42,
v1476544428_1.lbl,54,54,352,0.36,0.42,
v1476737389_1.lbl,12,12,352,0.36,0.42,
v1476272627_1.lbl,60,48,352,0.36,0.42,
v1514207575_1.lbl,32,32,352,0.35895,0.3879,
v1472402522_1.lbl,54,60,352,0.36,0.42,
v1477741413_1.lbl,8,64,352,0.36,0.42,
v1485892482_1.lbl,24,24,352,0.36,0.42,
v1513792404_1.lbl,8,48,352,0.35895,0.3879,
v1485780437_1.lbl,12,12,352,0.36,0.42,
v1514188830_1.lbl,64,64,352,0.35895,0.3879,
v1484621966_3.lbl,48,48,352,0.36,0.42,
v1514227373_1.lbl,32,32,352,0.35895,0.3879,
v1471387314_1.lbl,54,60,352,0.36,0.42,
v1513909544_1.lbl,12,24,352,0.35895,0.3879,
v1479735984_1.lbl,64,64,352,0.36,0.42,
v1486459359_1.lbl,64,64,352,0.36,0.42,
v1487106401_1.lbl,48,64,352,0.36,0.42,
v1483214528_1.lbl,44,64,352,0.36,0.42,
v1481724748_1.lbl,32,32,352,0.36,0.42,
v1514070362_1.lbl,24,48,352,0.35895,0.3879,
v1483232257_1.lbl,6,6,352,0.36,0.42,
v1474493323_1.lbl,60,48,352,0.36,0.42,
v1514323349_1.lbl,64,64,352,0.35895,0.3879,
v1477452574_1.lbl,48,48,352,0.36,0.42,
v1478030044_1.lbl,16,64,352,0.36,0.42,
v1471940459_1.lbl,54,60,352,0.36,0.42,
v1484848755_1.lbl,64,16,352,0.36,0.42,
v1485790588_1.lbl,12,12,352,0.36,0.42,
v1514080252_1.lbl,18,36,352,0.35895,0.3879,
v1485870275_3.lbl,24,24,352,0.36,0.42,
v1483224541_1.lbl,14,12,352,0.36,0.42,
v1472452668_1.lbl,54,60,352,0.36,0.42,
v1514003972_1.lbl,12,24,352,0.35895,0.3879,
v1476531829_1.lbl,60,54,352,0.36,0.42,
v1486792249_1.lbl,64,64,352,0.36,0.42,
v1486979685_1.lbl,64,64,352,0.36,0.42,
v1512222107_1.lbl,12,64,352,0.35895,0.3879,
v1480728585_1.lbl,64,64,352,0.36,0.42,
v1513890266_1.lbl,12,24,352,0.35895,0.3879,
v1514572957_1.lbl,16,12,352,0.35895,0.3879,
v1483223527_3.lbl,12,13,352,0.36,0.42,
v1487107010_1.lbl,48,64,352,0.36,0.42,
v1470978023_1.lbl,54,60,352,0.36,0.42,
v1481593382_1.lbl,48,60,352,0.36,0.42,
v1480716439_1.lbl,64,64,352,0.36,0.42,
v1485753871_1.lbl,32,64,352,0.36,0.42,
v1514082260_1.lbl,18,36,352,0.35895,0.3879,
v1472164916_1.lbl,54,60,352,0.36,0.42,
v1471365700_1.lbl,54,60,352,0.36,0.42,
v1472924556_1.lbl,54,60,352,0.36,0.42,
v1481625997_1.lbl,12,24,352,0.36,0.42,
v1485890734_1.lbl,24,24,352,0.36,0.42,
v1483232928_1.lbl,6,6,352,0.36,0.42,
v1472027533_1.lbl,54,60,352,0.36,0.42,
v1472680682_1.lbl,54,60,352,0.36,0.42,
v1514141825_1.lbl,12,24,352,0.35895,0.3879,
v1486459655_1.lbl,64,64,352,0.36,0.42,
v1513891757_1.lbl,12,24,352,0.35895,0.3879,
v1511993972_1.lbl,16,12,352,0.35895,0.3879,
v1512216529_1.lbl,12,64,352,0.35895,0.3879,
v1476578851_1.lbl,48,48,352,0.36,0.42,
v1513880690_1.lbl,12,24,352,0.35895,0.3879,
v1514007223_1.lbl,12,24,352,0.35895,0.3879,
v1476031466_1.lbl,60,48,352,0.36,0.42,
v1481634623_1.lbl,64,48,352,0.36,0.42,
v1514190429_1.lbl,32,32,352,0.35895,0.3879,
v1475101525_1.lbl,64,64,352,0.36,0.42,
v1471761037_1.lbl,54,60,352,0.36,0.42,
v1472259684_1.lbl,54,60,352,0.36,0.42,
v1512104899_1.lbl,12,32,352,0.35895,0.3879,
v1513900325_1.lbl,12,24,352,0.35895,0.3879,
v1471624902_1.lbl,54,60,352,0.36,0.42,
v1487103003_1.lbl,12,12,352,0.36,0.42,
v1511995157_3.lbl,16,12,352,0.35895,0.3879,
v1473173364_1.lbl,54,54,352,0.36,0.42,
v1471996831_1.lbl,54,60,352,0.36,0.42,
v1484851076_1.lbl,64,16,352,0.36,0.42,
v1485767374_1.lbl,32,64,352,0.36,0.42,
v1479329422_1.lbl,64,64,352,0.36,0.42,
v1477698360_1.lbl,16,64,352,0.36,0.42,
v1486978421_1.lbl,64,64,352,0.36,0.42,
v1513892765_1.lbl,12,24,352,0.35895,0.3879,
v1481495928_1.lbl,48,48,352,0.36,0.42,
v1471110940_14.lbl,54,60,352,0.36,0.42,
v1477495058_1.lbl,64,64,352,0.36,0.42,
v1476645623_1.lbl,12,12,352,0.36,0.42,
v1514165800_1.lbl,18,36,352,0.35895,0.3879,
v1512357615_1.lbl,24,64,352,0.35895,0.3879,
v1514572009_1.lbl,16,12,352,0.35895,0.3879,
v1512159935_1.lbl,12,64,352,0.35895,0.3879,
v1512353830_1.lbl,24,64,352,0.35895,0.3879,
v1469259344_1.lbl,48,64,352,0.36,0.42,
v1485893423_1.lbl,24,24,352,0.36,0.42,
v1471101885_1.lbl,54,60,352,0.36,0.42,
v1472666254_8.lbl,54,60,352,0.36,0.42,
v1485760334_1.lbl,32,64,352,0.36,0.42,
v1485775044_1.lbl,64,64,352,0.36,0.42,
v1474228935_1.lbl,60,48,352,0.36,0.42,
v1474503321_1.lbl,60,48,352,0.36,0.42,
v1484609457_3.lbl,36,36,352,0.36,0.42,
v1513888481_1.lbl,12,24,352,0.35895,0.3879,
v1512076906_1.lbl,12,32,352,0.35895,0.3879,
v1514175005_1.lbl,32,32,352,0.35895,0.3879,
v1478491566_4.lbl,32,32,352,0.36,0.42,
v1470707083_1.lbl,54,60,352,0.36,0.42,
v1511992253_3.lbl,16,12,352,0.35895,0.3879,
v1473544755_1.lbl,54,60,352,0.36,0.42,
v1514193623_1.lbl,16,24,352,0.35895,0.3879,
v1512014678_1.lbl,12,32,352,0.35895,0.3879,
v1477872145_1.lbl,32,32,352,0.36,0.42,
v1484512406_1.lbl,18,48,352,0.36,0.42,
v1473548846_3.lbl,54,60,352,0.36,0.42,
v1473285246_1.lbl,54,60,352,0.36,0.42,
v1513812298_1.lbl,8,48,352,0.35895,0.3879,
v1486565800_1.lbl,64,64,352,0.36,0.42,
v1472551366_1.lbl,54,60,352,0.36,0.42,
v1485780346_1.lbl,12,12,352,0.36,0.42,
v1514059279_1.lbl,24,48,352,0.35895,0.3879,
v1512347985_1.lbl,32,64,352,0.35895,0.3879,
v1512156344_3.lbl,12,64,352,0.35895,0.3879,
v1481209660_1.lbl,48,24,352,0.36,0.42,
v1476033528_1.lbl,60,48,352,0.36,0.42,
v1471936836_1.lbl,54,60,352,0.36,0.42,
v1513813121_1.lbl,8,48,352,0.35895,0.3879,
v1514299513_1.lbl,12,12,352,0.35895,0.3879,
v1514475239_1.lbl,12,32,352,0.35895,0.3879,
v1514067887_1.lbl,24,48,352,0.35895,0.3879,
v1469266454_1.lbl,48,64,352,0.36,0.42,
v1512239346_1.lbl,64,64,352,0.35895,0.3879,
v1512192853_1.lbl,12,64,352,0.35895,0.3879,
v1485757341_1.lbl,32,64,352,0.36,0.42,
v1477457253_1.lbl,54,54,352,0.36,0.42,
v1513898834_1.lbl,12,24,352,0.35895,0.3879,
v1512349744_3.lbl,24,64,352,0.35895,0.3879,
v1471127174_1.lbl,54,60,352,0.36,0.42,
v1487117013_1.lbl,48,64,352,0.36,0.42,
v1514071223_1.lbl,24,48,352,0.35895,0.3879,
v1514216223_1.lbl,24,24,352,0.35895,0.3879,
v1485871911_1.lbl,24,24,352,0.36,0.42,
v1479725141_1.lbl,64,64,352,0.36,0.42,
v1485786066_1.lbl,12,12,352,0.36,0.42,
v1485762728_3.lbl,32,64,352,0.36,0.42,
v1472807868_1.lbl,54,60,352,0.36,0.42,
v1485757429_1.lbl,32,64,352,0.36,0.42,
v1486394907_1.lbl,64,64,352,0.36,0.42,
v1512178410_1.lbl,12,64,352,0.35895,0.3879,
v1485870152_1.lbl,24,24,352,0.36,0.42,
v1476858983_7.lbl,64,64,352,0.36,0.42,
v1481359112_1.lbl,48,48,352,0.36,0.42,
v1477861913_1.lbl,32,32,352,0.36,0.42,
v1512073950_1.lbl,12,32,352,0.35895,0.3879,
v1512358116_3.lbl,24,64,352,0.35895,0.3879,
v1471415747_1.lbl,54,60,352,0.36,0.42,
v1481628172_1.lbl,12,24,352,0.36,0.42,
v1473439895_1.lbl,42,60,352,0.36,0.42,
v1473458009_1.lbl,54,60,352,0.36,0.42,
v1485876706_1.lbl,24,24,352,0.36,0.42,
v1471888561_1.lbl,54,60,352,0.36,0.42,
v1513784642_1.lbl,8,48,352,0.35895,0.3879,
v1477638980_1.lbl,12,24,352,0.36,0.42,
v1484594776_1.lbl,48,48,352,0.36,0.42,
v1512003763_1.lbl,12,32,352,0.35895,0.3879,
v1472791610_1.lbl,54,60,352,0.36,0.42,
v1477738463_1.lbl,8,64,352,0.36,0.42,
v1477485905_1.lbl,12,12,352,0.36,0.42,
v1477873058_1.lbl,32,32,352,0.36,0.42,
v1512148068_1.lbl,12,64,352,0.35895,0.3879,
v1476573068_1.lbl,12,12,352,0.36,0.42,
v1473991959_1.lbl,60,48,352,0.36,0.42,
v1484577820_1.lbl,24,36,352,0.36,0.42,
v1487024651_1.lbl,64,64,352,0.36,0.42,
v1514007552_1.lbl,36,24,352,0.35895,0.3879,
v1486845352_1.lbl,64,64,352,0.36,0.42,
v1474497738_1.lbl,60,48,352,0.36,0.42,
v1467465193_1.lbl,48,48,352,0.36,0.42,
v1476646160_1.lbl,12,24,352,0.36,0.42,
v1476646923_1.lbl,12,12,352,0.36,0.42,
v1485761539_1.lbl,32,64,352,0.36,0.42,
v1478543951_1.lbl,32,64,352,0.36,0.42,
v1473213872_1.lbl,54,54,352,0.36,0.42,
v1514341922_1.lbl,64,64,352,0.35895,0.3879,
v1481285637_1.lbl,64,64,352,0.36,0.42,
v1472420603_1.lbl,54,60,352,0.36,0.42,
v1486972767_1.lbl,64,64,352,0.36,0.42,
v1512352446_1.lbl,24,64,352,0.35895,0.3879,
v1484509868_1.lbl,18,48,352,0.36,0.42,
v1484858003_1.lbl,64,16,352,0.36,0.42,
v1475000145_5.lbl,60,48,352,0.36,0.42,
v1513892051_1.lbl,12,24,352,0.35895,0.3879,
v1476574169_1.lbl,12,24,352,0.36,0.42,
v1473743657_1.lbl,60,48,352,0.36,0.42,
v1483229626_1.lbl,36,54,352,0.36,0.42,
v1514564053_1.lbl,16,12,352,0.35895,0.3879,
v1479260003_1.lbl,64,64,352,0.36,0.42,
v1471770114_1.lbl,54,60,352,0.36,0.42,
v1485800834_1.lbl,12,12,352,0.36,0.42,
v1514176583_1.lbl,64,64,352,0.35895,0.3879,
v1467426479_1.lbl,42,42,352,0.36,0.42,
v1514298476_1.lbl,64,62,352,0.35895,0.3879,
v1512021991_1.lbl,12,32,352,0.35895,0.3879,
v1470847216_1.lbl,54,60,352,0.36,0.42,
v1512175920_1.lbl,12,64,352,0.35895,0.3879,
v1485754911_1.lbl,32,64,352,0.36,0.42,
v1472535176_1.lbl,54,60,352,0.36,0.42,
v1512063624_1.lbl,12,32,352,0.35895,0.3879,
v1478540710_1.lbl,32,64,352,0.36,0.42,
v1485790628_1.lbl,12,12,352,0.36,0.42,
v1473748751_1.lbl,60,48,352,0.36,0.42,
v1514187944_1.lbl,64,64,352,0.35895,0.3879,
v1479659991_1.lbl,64,64,352,0.36,0.42,
v1472671676_1.lbl,54,60,352,0.36,0.42,
v1511987807_1.lbl,16,12,352,0.35895,0.3879,
v1514166188_1.lbl,18,36,352,0.35895,0.3879,
v1471748458_1.lbl,54,60,352,0.36,0.42,
v1514006026_1.lbl,12,24,352,0.35895,0.3879,
v1486382821_1.lbl,64,64,352,0.36,0.42,
v1514280779_1.lbl,64,64,352,0.35895,0.3879,
v1481362750_1.lbl,48,48,352,0.36,0.42,
v1476062152_4.lbl,60,48,352,0.36,0.42,
v1514187243_1.lbl,64,64,352,0.35895,0.3879,
v1476564663_1.lbl,48,54,352,0.36,0.42,
v1472804280_1.lbl,54,60,352,0.36,0.42,
v1481396382_1.lbl,48,48,352,0.36,0.42,
v1514566898_3.lbl,16,12,352,0.35895,0.3879,
v1512227311_1.lbl,12,64,352,0.35895,0.3879,
v1477487784_1.lbl,12,12,352,0.36,0.42,
v1481763074_1.lbl,64,64,352,0.36,0.42,
v1481720563_1.lbl,48,32,352,0.36,0.42,
v1472424178_1.lbl,54,60,352,0.36,0.42,
v1471430192_1.lbl,54,60,352,0.36,0.42,
v1478726122_3.lbl,48,48,352,0.36,0.42,
v1514564527_1.lbl,16,12,352,0.35895,0.3879,
v1481182684_1.lbl,48,24,352,0.36,0.42,
v1477865978_1.lbl,32,32,352,0.36,0.42,
v1487106683_1.lbl,48,64,352,0.36,0.42,
v1474847532_1.lbl,64,64,352,0.36,0.42,
v1483232404_1.lbl,6,6,352,0.36,0.42,
v1481614387_1.lbl,64,64,352,0.36,0.42,
v1478550319_1.lbl,32,64,352,0.36,0.42,
v1468371800_1.lbl,14,14,352,0.36,0.42,
v1484519113_1.lbl,16,32,352,0.36,0.42,
v1477482843_1.lbl,12,12,352,0.36,0.42,
v1514157412_1.lbl,12,24,352,0.35895,0.3879,
v1484860325_4.lbl,64,16,352,0.36,0.42,
v1485770401_1.lbl,32,64,352,0.36,0.42,
v1474729268_1.lbl,60,48,352,0.36,0.42,
v1477490625_1.lbl,12,12,352,0.36,0.42,
v1477516539_1.lbl,64,16,352,0.36,0.42,
v1511976487_1.lbl,24,12,352,0.35895,0.3879,
v1485752743_3.lbl,32,64,352,0.36,0.42,
v1476025399_1.lbl,60,48,352,0.36,0.42,
v1477880574_1.lbl,32,32,352,0.36,0.42,
v1477671064_1.lbl,6,64,352,0.36,0.42,
v1473447435_1.lbl,54,60,352,0.36,0.42,
v1484530478_1.lbl,24,48,352,0.36,0.42,
v1484521968_1.lbl,16,32,352,0.36,0.42,
v1479202478_1.lbl,64,64,352,0.36,0.42,
v1512342117_1.lbl,32,64,352,0.35895,0.3879,
v1471247106_1.lbl,54,60,352,0.36,0.42,
v1514197167_1.lbl,64,64,352,0.35895,0.3879,
v1474989066_1.lbl,60,48,352,0.36,0.42,
v1485785746_1.lbl,12,12,352,0.36,0.42,
v1511982354_1.lbl,16,12,352,0.35895,0.3879,
v1472136052_1.lbl,54,60,352,0.36,0.42,
v1512078172_1.lbl,12,32,352,0.35895,0.3879,
v1513808006_5.lbl,8,48,352,0.35895,0.3879,
v1513904189_1.lbl,12,24,352,0.35895,0.3879,
v1478029350_1.lbl,16,64,352,0.36,0.42,
v1514178574_1.lbl,64,64,352,0.35895,0.3879,
v1513877834_1.lbl,12,24,352,0.35895,0.3879,
v1476278931_1.lbl,54,48,352,0.36,0.42,
v1476214834_1.lbl,24,24,352,0.36,0.42,
v1473953995_1.lbl,60,48,352,0.36,0.42,
v1512106587_1.lbl,12,32,352,0.35895,0.3879,
v1478549482_1.lbl,32,64,352,0.36,0.42,
v1474492729_1.lbl,60,48,352,0.36,0.42,
v1476281989_5.lbl,54,48,352,0.36,0.42,
v1487121774_1.lbl,12,12,352,0.36,0.42,
v1476646879_1.lbl,12,12,352,0.36,0.42,
v1513899254_1.lbl,12,24,352,0.35895,0.3879,
v1512171236_1.lbl,12,64,352,0.35895,0.3879,
v1479508270_1.lbl,64,64,352,0.36,0.42,
v1471374699_1.lbl,54,60,352,0.36,0.42,
v1513902110_1.lbl,12,24,352,0.35895,0.3879,
v1513813532_1.lbl,8,48,352,0.35895,0.3879,
v1477440033_1.lbl,48,48,352,0.36,0.42,
v1476216494_1.lbl,24,24,352,0.36,0.42,
v1472669809_1.lbl,54,60,352,0.36,0.42,
v1485797083_1.lbl,12,12,352,0.36,0.42,
v1481132583_1.lbl,48,24,352,0.36,0.42,
v1470619533_1.lbl,54,60,352,0.36,0.42,
v1485875653_1.lbl,24,24,352,0.36,0.42,
v1514297351_1.lbl,12,12,352,0.35895,0.3879,
v1470976195_1.lbl,54,60,352,0.36,0.42,
v1472161341_1.lbl,54,60,352,0.36,0.42,
v1481387940_1.lbl,48,48,352,0.36,0.42,
v1472549567_1.lbl,54,60,352,0.36,0.42,
v1514300233_1.lbl,12,12,352,0.35895,0.3879,
v1514154679_1.lbl,30,30,352,0.35895,0.3879,
v1514065034_1.lbl,24,48,352,0.35895,0.3879,
v1514386858_1.lbl,48,48,352,0.35895,0.3879,
v1512177462_1.lbl,12,64,352,0.35895,0.3879,
v1512093492_1.lbl,12,32,352,0.35895,0.3879,
v1476573523_1.lbl,12,24,352,0.36,0.42,
v1512071840_1.lbl,12,32,352,0.35895,0.3879,
v1470606936_1.lbl,54,60,352,0.36,0.42,
v1477308599_1.lbl,12,48,352,0.36,0.42,
v1472197009_1.lbl,54,60,352,0.36,0.42,
v1484506475_1.lbl,24,48,352,0.36,0.42,
v1514288801_1.lbl,64,64,352,0.35895,0.3879,
v1481449151_1.lbl,48,48,352,0.36,0.42,
v1512014256_1.lbl,12,32,352,0.35895,0.3879,
v1476283358_1.lbl,48,48,352,0.36,0.42,
v1477951546_1.lbl,12,64,352,0.36,0.42,
v1485791652_1.lbl,64,64,352,0.36,0.42,
v1474778456_1.lbl,60,48,352,0.36,0.42,
v1478555875_1.lbl,32,64,352,0.36,0.42,
v1477950929_1.lbl,12,64,352,0.36,0.42,
v1512022413_1.lbl,12,32,352,0.35895,0.3879,
v1467450252_1.lbl,36,64,352,0.36,0.42,
v1473749342_1.lbl,60,48,352,0.36,0.42,
v1477872596_1.lbl,32,32,352,0.36,0.42,
v1514194459_1.lbl,64,64,352,0.35895,0.3879,
v1477888480_1.lbl,32,32,352,0.36,0.42,
v1476489155_1.lbl,12,12,352,0.36,0.42,
v1475301076_3.lbl,60,48,352,0.36,0.42,
v1485763846_1.lbl,32,64,352,0.36,0.42,
v1477474917_1.lbl,64,64,352,0.36,0.42,
v1485780494_1.lbl,12,12,352,0.36,0.42,
v1481766906_1.lbl,12,24,352,0.36,0.42,
v1512147027_1.lbl,12,64,352,0.35895,0.3879,
v1472458022_3.lbl,54,60,352,0.36,0.42,
v1471904817_1.lbl,54,60,352,0.36,0.42,
v1481360933_4.lbl,48,48,352,0.36,0.42,
v1471168197_1.lbl,54,60,352,0.36,0.42,
v1468370885_1.lbl,14,14,352,0.36,0.42,
v1476801918_1.lbl,64,64,352,0.36,0.42,
v1486731979_1.lbl,64,64,352,0.36,0.42,
v1480730026_3.lbl,64,64,352,0.36,0.42,
v1485887922_1.lbl,24,24,352,0.36,0.42,
v1472456271_1.lbl,54,60,352,0.36,0.42,
v1485872964_1.lbl,24,24,352,0.36,0.42,
v1471166416_1.lbl,54,60,352,0.36,0.42,
v1513910615_1.lbl,12,24,352,0.35895,0.3879,
v1477866442_1.lbl,32,32,352,0.36,0.42,
v1477882914_1.lbl,32,32,352,0.36,0.42,
v1474735598_1.lbl,60,48,352,0.36,0.42,
v1477516605_1.lbl,64,16,352,0.36,0.42,
v1512009057_1.lbl,12,32,352,0.35895,0.3879,
v1473717454_1.lbl,60,48,352,0.36,0.42,
v1481192525_1.lbl,64,64,352,0.36,0.42,
v1472718146_1.lbl,54,60,352,0.36,0.42,
v1477490933_1.lbl,64,64,352,0.36,0.42,
v1476541764_1.lbl,54,48,352,0.36,0.42,
v1514296519_1.lbl,12,12,352,0.35895,0.3879,
v1514188658_1.lbl,32,32,352,0.35895,0.3879,
v1477488820_1.lbl,12,12,352,0.36,0.42,
v1478552811_1.lbl,32,64,352,0.36,0.42,
v1514180570_1.lbl,32,32,352,0.35895,0.3879,
v1512072684_1.lbl,12,32,352,0.35895,0.3879,
v1480709245_1.lbl,64,64,352,0.36,0.42,
v1483223647_1.lbl,12,13,352,0.36,0.42,
v1487094753_1.lbl,48,64,352,0.36,0.42,
v1486956545_1.lbl,64,64,352,0.36,0.42,
v1471419332_1.lbl,54,60,352,0.36,0.42,
v1478600204_1.lbl,64,64,352,0.36,0.42,
v1511998718_1.lbl,12,32,352,0.35895,0.3879,
v1477475933_1.lbl,64,64,352,0.36,0.42,
v1513785054_1.lbl,8,48,352,0.35895,0.3879,
v1514299671_1.lbl,12,12,352,0.35895,0.3879,
v1485780709_1.lbl,12,12,352,0.36,0.42,
v1514079088_1.lbl,18,36,352,0.35895,0.3879,
v1511978797_1.lbl,16,12,352,0.35895,0.3879,
v1476647066_1.lbl,12,12,352,0.36,0.42,
v1514188308_1.lbl,32,32,352,0.35895,0.3879,
