Filename,Lines,Samples,Bands,First_Band,Last_Band,Confidence
v1871434639_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435639_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435114_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433896_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434580_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435763_3.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435681_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435460_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435425_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433933_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434460_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434425_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434308_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435308_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871504545_1.lbl,24,48,352,0.35,5.102,0.0654930209913
v1871435761_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435724_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434761_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434724_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434294_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433784_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871431367_1.lbl,34,64,352,0.35,5.102,0.0654930209913
v1871492503_1.lbl,56,52,352,0.35,5.102,0.0654930209913
v1871435544_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434269_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433779_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433664_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434331_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871487043_1.lbl,40,22,352,0.35,5.102,0.0654930209913
v1871435331_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435758_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871569055_1.lbl,64,64,352,0.35,5.102,0.0654930209913
v1871433699_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434836_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434075_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434873_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434030_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435030_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871496144_1.lbl,56,54,352,0.35,5.102,0.0654930209913
v1871509423_1.lbl,24,48,352,0.35,5.102,0.0654930209913
v1871434798_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433659_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435579_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435211_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435254_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434211_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433744_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434254_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435584_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434110_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434953_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434328_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435328_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435440_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435405_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433913_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434440_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434405_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435741_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435390_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435704_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434741_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434704_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435134_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435171_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434134_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434977_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434619_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435619_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433876_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434525_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434560_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433833_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435525_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435109_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434624_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435624_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435661_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871560695_1.lbl,42,32,352,0.35,5.102,0.0654930209913
v1871434480_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435480_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434739_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433640_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434781_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433605_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435438_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434438_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434948_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434527_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434562_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433831_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435527_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435562_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433642_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434783_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433607_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871566925_1.lbl,42,28,352,0.35,5.102,0.0654930209913
v1871435482_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435743_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435706_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433682_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434706_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434868_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433911_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434895_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871488625_1.lbl,52,52,352,0.35,5.102,0.0654930209913
v1871433727_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434975_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434930_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435423_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433935_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433970_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434423_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435112_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435157_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434112_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434157_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435256_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433746_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434256_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434197_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434602_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434296_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433786_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434647_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435602_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435296_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433567_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434077_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434871_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434032_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435077_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435032_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434376_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434333_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435333_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871513210_1.lbl,16,24,352,0.35,5.102,0.0654930209913
v1871433908_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435149_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434149_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434664_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435664_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435699_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434699_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434565_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433836_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433873_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434520_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435520_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433600_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871510668_1.lbl,16,24,352,0.35,5.102,0.0654930209913
v1871509850_1.lbl,24,24,352,0.35,5.102,0.0654930209913
v1871435355_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871504270_1.lbl,16,24,352,0.35,5.102,0.0654930209913
v1871434478_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433993_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434485_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435485_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434779_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435069_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435701_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435395_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434701_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434744_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434368_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435368_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871440608_3.lbl,30,64,352,0.35,5.102,0.0654930209913
v1871435400_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435094_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435445_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434400_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433953_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433916_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434445_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434189_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435189_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435174_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434174_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434972_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434659_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435288_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435659_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871439075_3.lbl,32,64,352,0.35,5.102,0.0654930209913
v1871434008_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434913_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434115_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435251_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435214_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434251_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433741_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434214_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433704_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871493994_1.lbl,56,54,352,0.35,5.102,0.0654930209913
v1871435229_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433739_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434229_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433781_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434291_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435291_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434035_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434876_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434070_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434833_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435035_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434371_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434642_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434607_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435293_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435607_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434192_1.lbl,6,16,352,0.35,5.102,0.0654930209913
